i,ego s,ego d,s1,d1,s2,d2,s3,d3,s4,d4,s5,d5,s6,d6,s7,d7,s8,d8,s9,d9,s10,d10,s11,d11,s12,d12
0,126.024,6.08988,138.261,10.025,112.971,2.02601,314.998,1.72498,6713.91,-285.727,6711.57,-288.19,6661.77,-291.78,6711.78,-268.096,6709.3,-270.704,6663.54,-273.183,6660.44,-275.551,6657.74,-277.616,6653.45,-280.895,
1,126.749,6.09667,141.841,10.025,116.72,2.02601,318.223,1.72498,6713.91,-285.727,6711.57,-288.19,6661.77,-291.78,6711.78,-268.096,6709.3,-270.704,6663.54,-273.183,6660.44,-275.551,6657.74,-277.616,6653.45,-280.895,
2,127.633,6.10354,145.422,10.025,120.47,2.02601,321.447,1.72498,6713.91,-285.727,6711.57,-288.19,6661.77,-291.78,6711.78,-268.096,6709.3,-270.704,6663.54,-273.183,6660.44,-275.551,6657.74,-277.616,6653.45,-280.895,
3,128.653,6.10914,149.002,10.025,124.22,2.02601,324.672,1.72498,6713.91,-285.727,6711.57,-288.19,6661.77,-291.78,6711.78,-268.096,6709.3,-270.704,6663.54,-273.183,6660.44,-275.551,6657.74,-277.616,6653.45,-280.895,
4,129.799,6.11255,152.582,10.025,127.97,2.02601,327.897,1.72498,6713.91,-285.727,6711.57,-288.19,6661.77,-291.78,6711.78,-268.096,6709.3,-270.704,6663.54,-273.183,6660.44,-275.551,6657.74,-277.616,6653.45,-280.895,
5,131.064,6.11321,156.162,10.025,131.72,2.02601,331.122,1.72498,6713.91,-285.727,6711.57,-288.19,6661.77,-291.78,6711.78,-268.096,6709.3,-270.704,6663.54,-273.183,6660.44,-275.551,6657.74,-277.616,6653.45,-280.895,
6,132.452,6.11088,159.742,10.025,135.469,2.02601,334.347,1.72498,6713.91,-285.727,6711.57,-288.19,6661.77,-291.78,6711.78,-268.096,6709.3,-270.704,6663.54,-273.183,6660.44,-275.551,6657.74,-277.616,6653.45,-280.895,
7,133.97,6.10563,163.322,10.025,139.219,2.02601,337.572,1.72498,6713.91,-285.727,6711.57,-288.19,6661.77,-291.78,6711.78,-268.096,6709.3,-270.704,6663.54,-273.183,6660.44,-275.551,6657.74,-277.616,6653.45,-280.895,
8,135.631,6.09771,166.903,10.025,142.969,2.02601,340.797,1.72498,6713.91,-285.727,6711.57,-288.19,6661.77,-291.78,6711.78,-268.096,6709.3,-270.704,6663.54,-273.183,6660.44,-275.551,6657.74,-277.616,6653.45,-280.895,
9,137.447,6.0876,170.483,10.025,146.719,2.02601,344.022,1.72498,6713.91,-285.727,6711.57,-288.19,6661.77,-291.78,6711.78,-268.096,6709.3,-270.704,6663.54,-273.183,6660.44,-275.551,6657.74,-277.616,6653.45,-280.895,
10,139.436,6.07589,174.063,10.025,150.469,2.02601,347.247,1.72498,6713.91,-285.727,6711.57,-288.19,6661.77,-291.78,6711.78,-268.096,6709.3,-270.704,6663.54,-273.183,6660.44,-275.551,6657.74,-277.616,6653.45,-280.895,
11,141.611,6.06325,177.643,10.025,154.218,2.02601,350.471,1.72498,6713.91,-285.727,6711.57,-288.19,6661.77,-291.78,6711.78,-268.096,6709.3,-270.704,6663.54,-273.183,6660.44,-275.551,6657.74,-277.616,6653.45,-280.895,
12,143.985,6.0504,181.223,10.025,157.968,2.02601,353.696,1.72498,6713.91,-285.727,6711.57,-288.19,6661.77,-291.78,6711.78,-268.096,6709.3,-270.704,6663.54,-273.183,6660.44,-275.551,6657.74,-277.616,6653.45,-280.895,
13,146.569,6.03804,184.803,10.025,161.718,2.02601,356.921,1.72498,6713.91,-285.727,6711.57,-288.19,6661.77,-291.78,6711.78,-268.096,6709.3,-270.704,6663.54,-273.183,6660.44,-275.551,6657.74,-277.616,6653.45,-280.895,
14,149.368,6.02683,188.383,10.025,165.468,2.02601,360.146,1.72498,6713.91,-285.727,6711.57,-288.19,6661.77,-291.78,6711.78,-268.096,6709.3,-270.704,6663.54,-273.183,6660.44,-275.551,6657.74,-277.616,6653.45,-280.895,
15,152.38,6.01728,191.964,10.025,169.218,2.02601,363.371,1.72498,6713.91,-285.727,6711.57,-288.19,6661.77,-291.78,6711.78,-268.096,6709.3,-270.704,6663.54,-273.183,6660.44,-275.551,6657.74,-277.616,6653.45,-280.895,
16,155.597,6.0098,195.544,10.025,172.967,2.02601,366.596,1.72498,6713.91,-285.727,6711.57,-288.19,6661.77,-291.78,6711.78,-268.096,6709.3,-270.704,6663.54,-273.183,6660.44,-275.551,6657.74,-277.616,6653.45,-280.895,
17,159.002,6.00456,199.124,10.025,176.717,2.02601,369.821,1.72498,6713.91,-285.727,6711.57,-288.19,6661.77,-291.78,6711.78,-268.096,6709.3,-270.704,6663.54,-273.183,6660.44,-275.551,6657.74,-277.616,6653.45,-280.895,
18,162.566,6.00148,202.704,10.025,180.467,2.02601,373.046,1.72498,6713.91,-285.727,6711.57,-288.19,6661.77,-291.78,6711.78,-268.096,6709.3,-270.704,6663.54,-273.183,6660.44,-275.551,6657.74,-277.616,6653.45,-280.895,
19,166.25,6.0002,206.284,10.025,184.217,2.02601,376.271,1.72498,6713.91,-285.727,6711.57,-288.19,6661.77,-291.78,6711.78,-268.096,6709.3,-270.704,6663.54,-273.183,6660.44,-275.551,6657.74,-277.616,6653.45,-280.895,
